label_name,gain,tone,latents,coords
honeybee,5,2,"[0.03329164534807205, 0.1085454598069191, -0.3850490152835846, 0.09470994025468826, 0.09376631677150726, -0.7364758253097534, 0.8396270275115967, -0.28921952843666077]","[0.2628001570701599, 0.3411330580711365]"
honeybee,5,4,"[0.520324170589447, -0.8116975426673889, 0.18023450672626495, -0.15487276017665863, 0.9746472239494324, 0.9621042013168335, 0.05380154028534889, -0.906520664691925]","[0.3567360043525696, 0.013854765333235264]"
honeybee,2,4,"[0.48522186279296875, 0.5952466130256653, 0.8083760738372803, -0.9834631085395813, -0.31533509492874146, 0.5143653154373169, 0.8713635206222534, 0.7690525054931641]","[0.21344612538814545, 0.22282683849334717]"
bigfella,2,0,"[-0.02217075414955616, 0.8898359537124634, -0.19543947279453278, 0.08005565404891968, -0.7599732875823975, -0.17907460033893585, 0.2700860798358917, -0.033278852701187134]","[0.2567884922027588, 0.7178612947463989]"
bigfella,0,4,"[0.9052552580833435, 0.17303995788097382, -0.30801278352737427, -0.34755977988243103, -0.9009498357772827, 0.4026835858821869, 0.9846380352973938, 0.2973891496658325]","[0.2772383391857147, 0.1023026630282402]"
bigfella,3,0,"[0.42116984724998474, -0.8378440141677856, 0.40554943680763245, 0.2427385300397873, -0.45565760135650635, -0.788392961025238, 0.8345387578010559, 0.8357656002044678]","[0.7524397969245911, 0.2372790426015854]"
bigfella,5,4,"[-0.7320277690887451, 0.46307075023651123, -0.07892952859401703, -0.2974378764629364, -0.9261621832847595, 0.5928324460983276, 0.7780961990356445, 0.396246075630188]","[0.36612460017204285, 0.8841896057128906]"
bigfella,1,4,"[-0.9016733765602112, -0.9647876620292664, -0.7145289182662964, 0.7902770638465881, 0.33884215354919434, -0.29810720682144165, -0.3782387375831604, -0.10933831334114075]","[0.8295173645019531, 0.8009294867515564]"
honeybee,3,1,"[-0.11475539207458496, -0.16445887088775635, 0.78827303647995, -0.8881962299346924, -0.6347156167030334, -0.09363552182912827, -0.5456677675247192, -0.6993691325187683]","[0.8639670610427856, 0.5886365175247192]"
honeybee,4,0,"[-0.18588070571422577, 0.7370861768722534, 0.11467885226011276, -0.9528239369392395, -0.6341726779937744, -0.8836912512779236, -0.7494618892669678, 0.5696113109588623]","[0.8731507062911987, 0.8016088008880615]"
honeybee,2,1,"[-0.10002881288528442, -0.5643479228019714, -0.8732940554618835, -0.27663686871528625, 0.5817285776138306, -0.22372300922870636, 0.5802912712097168, -0.07578667998313904]","[0.4633268415927887, 0.18288706243038177]"
bigfella,1,0,"[0.019452277570962906, -0.9872956871986389, -0.6617319583892822, 0.44303613901138306, -0.3152781128883362, -0.4596695303916931, 0.6147392988204956, 0.9840952754020691]","[0.8150281310081482, 0.26156097650527954]"
bigfella,0,3,"[0.3923054039478302, 0.7465991377830505, 0.46328383684158325, 0.9370242357254028, 0.020063452422618866, -0.18602611124515533, 0.7904021143913269, 0.9433832764625549]","[0.11972234398126602, 0.6723175644874573]"
honeybee,3,4,"[0.5971071720123291, -0.9301559925079346, 0.7535572648048401, 0.7849549055099487, -0.8750805854797363, -0.06503015756607056, 0.29765620827674866, -0.22761809825897217]","[0.788661003112793, 0.28623491525650024]"
bigfella,1,3,"[0.8367403745651245, 0.21799395978450775, -0.9094052910804749, -0.901289165019989, 0.9779042601585388, 0.30221855640411377, -0.12510082125663757, 0.13418449461460114]","[0.3056071698665619, 0.0]"
honeybee,5,1,"[-0.8154703378677368, -0.96943199634552, 0.46153637766838074, 0.8952559232711792, -0.9148128032684326, -0.014984317123889923, -0.47600898146629333, 0.23478640615940094]","[0.874053955078125, 0.8640274405479431]"
honeybee,0,0,"[-0.221553236246109, 0.829176664352417, 0.642330527305603, -0.2863779366016388, -0.5302967429161072, 0.7687873840332031, 0.10702177882194519, 0.7244561910629272]","[0.3839203417301178, 0.8898828625679016]"
